CustomerID,requency,frequency,monetary,cluster
12346.0,325,148430,154367.2,3
12347.0,1,2458,4309.999999999997,1
12348.0,74,2341,1797.24,1
12349.0,18,631,1757.55,1
12350.0,309,197,334.40000000000003,3
12352.0,35,602,3466.6700000000014,1
12353.0,203,20,89.0,2
12354.0,231,530,1079.4,3
12355.0,213,240,459.4,2
12356.0,22,1591,2811.4300000000007,1
12357.0,32,2708,6207.669999999996,1
12358.0,1,248,1168.06,1
12359.0,7,1632,6499.630000000005,1
12360.0,51,1165,2662.0600000000004,1
12361.0,286,91,189.89999999999998,3
12362.0,2,2246,5297.880000000003,1
12363.0,109,408,552.0,1
12364.0,7,1506,1313.1000000000001,1
12365.0,290,175,962.0699999999999,3
12367.0,3,173,168.9,1
12370.0,50,2353,3545.689999999998,1
12371.0,44,591,1887.9600000000003,1
12372.0,71,794,1298.0400000000002,1
12373.0,310,197,364.6,3
12374.0,24,342,742.93,1
12375.0,2,179,459.5800000000001,1
12377.0,314,944,1628.1199999999997,3
12378.0,129,2529,4008.6200000000013,2
12379.0,81,408,854.1899999999997,1
12380.0,21,1128,2729.06,1
12381.0,4,833,1886.6600000000008,1
12383.0,184,1535,1861.8099999999997,2
12384.0,28,131,604.38,1
12386.0,337,354,401.90000000000003,3
12388.0,15,1462,2780.6600000000003,1
12390.0,79,353,549.8399999999999,1
12391.0,21,300,460.88999999999993,1
12393.0,71,816,1582.6000000000004,1
12394.0,63,819,1272.48,1
12395.0,15,2123,3038.9799999999987,1
12397.0,35,1263,2409.9000000000005,1
12398.0,45,1394,1635.6599999999999,1
12399.0,118,1178,1108.65,1
12401.0,302,11,84.3,3
12402.0,322,94,225.6,3
12403.0,49,97,445.7,1
12405.0,148,857,1710.3900000000006,2
12406.0,21,1827,3549.8500000000013,1
12407.0,49,1416,1708.1199999999997,1
12408.0,32,1419,2934.530000000001,1
12409.0,78,5559,11088.41,1
12410.0,300,213,705.5799999999999,3
12412.0,74,829,1226.8799999999999,1
12413.0,66,290,822.05,1
12414.0,216,300,562.41,2
12415.0,23,78098,126103.60999999964,1
12417.0,2,1565,3719.3999999999996,1
12418.0,112,407,668.5799999999997,1
12420.0,63,345,600.3900000000001,1
12421.0,15,485,807.8100000000002,1
12422.0,95,370,803.5599999999998,1
12423.0,0,1351,1869.5100000000002,1
12424.0,162,740,1760.9599999999998,2
12425.0,77,496,777.1999999999999,1
12426.0,194,258,582.7299999999999,2
12427.0,11,830,943.2300000000002,1
12428.0,25,3569,8035.720000000003,1
12429.0,8,1557,3750.400000000001,1
12430.0,42,117,256.4,1
12431.0,35,2968,6558.509999999998,1
12432.0,42,1801,5059.3200000000015,1
12433.0,0,11071,13375.869999999992,1
12434.0,84,415,847.0899999999999,1
12435.0,79,2055,7829.889999999998,1
12436.0,99,211,509.01000000000005,1
12437.0,1,2928,5006.159999999997,1
12438.0,13,1180,2906.8500000000004,1
12441.0,366,121,173.55,3
12442.0,2,182,172.06,1
12444.0,20,1155,5005.46,1
12445.0,21,62,133.4,1
12446.0,57,352,1002.3099999999998,1
12447.0,242,190,476.49,3
12448.0,43,243,449.4500000000001,1
12449.0,21,1553,4067.2900000000013,1
12450.0,155,128,197.88,2
12451.0,10,6695,9137.519999999997,1
12452.0,16,187,432.57000000000005,1
12453.0,133,473,707.0899999999999,2
12454.0,52,2012,7056.68,1
12455.0,72,2089,2466.859999999997,1
12456.0,43,1650,3208.1899999999982,1
12457.0,57,993,2808.6799999999994,1
12458.0,70,506,947.4000000000001,1
12461.0,93,287,826.8800000000001,1
12462.0,1,558,1255.1700000000005,1
12463.0,45,795,1385.9299999999998,1
12464.0,9,112,1212.0499999999997,1
12465.0,7,483,750.4900000000002,1
12468.0,142,368,735.04,2
12471.0,1,8459,20907.179999999942,1
12472.0,30,4276,6914.740000000002,1
12473.0,28,2515,5028.87,1
12474.0,16,4930,7635.109999999998,1
12475.0,53,535,723.38,1
12476.0,0,2479,7086.260000000002,1
12477.0,22,3686,13322.46999999999,1
12478.0,3,236,680.9900000000002,1
12479.0,3,419,577.1,1
12480.0,27,1707,3281.6300000000015,1
12481.0,22,3318,5601.780000000002,1
12483.0,16,1123,2642.830000000001,1
12484.0,32,2197,4588.170000000002,1
12488.0,9,529,1298.6599999999999,1
12489.0,335,105,334.92999999999995,3
12490.0,4,3064,5417.9299999999985,1
12491.0,38,260,460.4000000000001,1
12492.0,62,192,263.21,1
12493.0,165,208,450.69,2
12494.0,9,724,1352.8500000000006,1
12497.0,81,1236,1043.1,1
12498.0,20,159,403.7,1
12500.0,22,2685,4309.370000000001,1
12501.0,314,1844,2249.099999999999,3
12502.0,95,820,3723.87,1
12503.0,337,1,1126.0,3
12504.0,17,129,850.1,1
12505.0,300,1,4.5,3
12506.0,232,23,73.50000000000003,3
12507.0,133,916,1351.56,1
12508.0,25,272,398.27000000000004,1
12509.0,283,55,176.5,3
12510.0,142,353,982.57,2
12512.0,65,99,138.03000000000006,1
12513.0,84,468,637.7900000000001,1
12514.0,266,440,1017.6800000000002,3
12515.0,352,131,383.7,3
12516.0,77,875,1312.06,1
12517.0,27,1394,2540.789999999999,1
12518.0,0,1318,2056.8899999999994,1
12519.0,63,183,340.84,1
12520.0,78,1448,2686.0100000000007,1
12521.0,142,309,599.6800000000001,2
12522.0,38,194,192.72000000000003,1
12523.0,1,869,1833.9700000000007,1
12524.0,8,3699,4485.719999999999,1
12526.0,0,632,1316.6600000000005,1
12527.0,81,234,348.71000000000004,1
12528.0,8,762,1944.680000000001,1
12530.0,59,926,1700.9299999999992,1
12531.0,14,45,125.22,1
12532.0,29,153,349.83,1
12534.0,130,651,1089.18,1
12535.0,91,219,716.3500000000001,1
12536.0,7,2954,21096.840000000007,1
12538.0,28,191,363.95,1
12539.0,21,2068,7284.199999999996,1
12540.0,19,6693,13491.439999999991,1
12541.0,29,680,981.1800000000002,1
12544.0,29,140,389.7,1
12545.0,74,523,1000.3899999999999,1
12546.0,46,649,1181.5000000000002,1
12547.0,197,134,207.8,2
12548.0,165,49,95.19999999999999,2
12550.0,78,569,964.8299999999994,1
12551.0,357,100,168.0,3
12552.0,38,88,437.81999999999994,1
12553.0,7,2006,3732.310000000001,1
12556.0,49,358,603.7099999999997,1
12557.0,15,4384,11990.96,1
12558.0,1,392,539.9199999999998,1
12559.0,310,285,587.2099999999999,3
12560.0,4,1142,2166.6300000000006,1
12561.0,302,177,238.85,3
12562.0,7,1779,3781.7400000000025,1
12564.0,260,133,456.9000000000001,3
12565.0,281,85,160.67,3
12566.0,72,266,356.6,1
12567.0,22,4521,9687.619999999995,1
12569.0,1,1809,4184.3899999999985,1
12571.0,39,523,519.6099999999999,1
12572.0,8,454,1036.1200000000003,1
12573.0,226,84,160.54,2
12574.0,315,61,218.45000000000002,3
12576.0,35,970,1324.6799999999998,1
12577.0,34,478,720.2000000000003,1
12578.0,20,1221,2835.6599999999994,1
12579.0,72,292,470.11999999999995,1
12580.0,246,238,415.7,3
12581.0,39,161,197.70999999999998,1
12582.0,238,300,511.3599999999999,3
12583.0,2,5111,7375.419999999993,1
12584.0,3,478,2782.3500000000004,1
12585.0,233,1300,2097.389999999999,2
12586.0,16,81,213.94,1
12587.0,7,51,144.0,1
12588.0,38,53,214.9,1
12589.0,28,306,646.6800000000001,1
12590.0,189,4287,9867.140000000005,2
12591.0,316,228,452.84999999999985,3
12592.0,91,290,437.59999999999997,1
12593.0,108,206,418.09999999999997,1
12594.0,37,1778,3356.219999999999,1
12596.0,50,474,618.27,1
12597.0,18,2285,3939.3100000000018,1
12598.0,9,1988,3043.4799999999987,1
12599.0,28,956,1032.5800000000006,1
12600.0,28,775,2617.0400000000004,1
12601.0,189,246,584.5600000000001,2
12602.0,58,162,153.12000000000003,1
12603.0,21,64,739.1999999999999,1
12604.0,78,201,254.17999999999995,1
12605.0,364,4,7.5,3
12607.0,57,2456,3159.019999999999,1
12609.0,77,648,1126.8500000000001,1
12610.0,22,1070,2141.090000000001,1
12611.0,51,846,1193.32,1
12612.0,57,273,764.49,1
12613.0,30,1692,3469.7799999999984,1
12614.0,277,76,315.59999999999997,3
12615.0,1,1376,2291.1900000000005,1
12616.0,84,295,769.3499999999999,1
12617.0,28,213,355.5300000000002,1
12618.0,21,96,177.31,1
12619.0,15,3402,4067.6700000000005,1
12620.0,14,1181,1339.4099999999999,1
12621.0,1,7476,13767.27,1
12622.0,231,69,180.09999999999997,3
12623.0,275,191,305.1,3
12624.0,105,355,641.1300000000001,1
12625.0,211,1647,2753.3199999999993,2
12626.0,22,3556,6852.609999999996,1
12627.0,10,2752,4478.53,1
12628.0,3,451,803.3099999999998,1
12630.0,9,548,1270.8799999999999,1
12631.0,56,236,640.5000000000002,1
12633.0,58,1175,2187.329999999999,1
12635.0,89,1172,1689.18,1
12637.0,66,3014,6090.55,1
12638.0,32,577,671.69,1
12639.0,238,201,486.1,3
12640.0,23,311,1174.58,1
12641.0,114,72,185.9,1
12642.0,24,552,1013.26,1
12643.0,127,1808,3344.6400000000003,1
12644.0,129,325,477.9100000000001,1
12645.0,33,1096,1794.9800000000005,1
12646.0,4,897,1346.9700000000003,1
12647.0,21,1444,3775.7200000000007,1
12648.0,154,160,318.05,2
12649.0,106,598,643.31,1
12650.0,2,254,314.44,1
12651.0,334,78,114.00000000000003,3
12652.0,321,508,925.4299999999998,3
12653.0,148,919,2209.8500000000004,2
12654.0,10,264,601.98,1
12656.0,16,1738,4119.620000000003,1
12657.0,10,1434,2134.3,1
12658.0,18,320,686.0500000000001,1
12659.0,29,105,91.68,1
12660.0,10,127,245.10000000000002,1
12662.0,0,2076,3882.479999999998,1
12664.0,7,1204,4899.879999999999,1
12665.0,324,38,64.25,3
12666.0,358,56,227.44,3
12667.0,57,395,620.13,1
12668.0,6,1673,3871.1200000000017,1
12669.0,150,1116,3880.330000000001,2
12670.0,9,1403,3005.9500000000007,1
12672.0,329,78,225.9,3
12673.0,4,351,610.52,1
12674.0,11,1164,2021.890000000001,1
12676.0,24,670,1331.3900000000006,1
12678.0,41,10947,17668.660000000003,1
12679.0,51,578,1167.3700000000003,1
12680.0,0,443,862.81,1
12681.0,14,7554,13897.489999999998,1
12682.0,3,5575,12288.219999999998,1
12683.0,3,5071,8732.049999999997,1
12684.0,7,1985,2283.6299999999997,1
12685.0,27,1523,2863.0800000000004,1
12686.0,371,107,89.14,3
12688.0,113,3028,4873.810000000005,2
12689.0,25,628,1247.61,1
12690.0,205,106,389.00999999999993,2
12691.0,27,394,1035.8,1
